1,2,3,4,5,6,7,8,9,10
0,0.062,0.147,0.131,0.167,0.201,0.205,0.401,0.39,0.33
0.062,0,0.12,0.182,0.218,0.241,0.286,0.447,0.435,0.37
0.147,0.12,0,0.19,0.214,0.207,0.195,0.406,0.393,0.33
0.131,0.182,0.19,0,0.036,0.081,0.095,0.27,0.26,0.2
0.167,0.218,0.214,0.036,0,0.057,0.077,0.234,0.224,0.17
0.201,0.241,0.207,0.081,0.057,0,0.023,0.206,0.194,0.13
0.205,0.286,0.195,0.095,0.077,0.023,0,0.213,0.2,0.13
0.401,0.447,0.406,0.27,0.234,0.206,0.213,0,0.013,0.08
0.39,0.435,0.393,0.26,0.224,0.194,0.2,0.013,0,0.07
0.33,0.37,0.33,0.2,0.17,0.13,0.13,0.08,0.07,0
